model,tuned,trials,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,r2_mean,r2_std,mae_log_mean,mae_log_std,fit_time_mean,fit_time_std,params
lgbm,True,20,2123.9551626065427,159.5412734511043,15539.494935146084,7986.399288286298,0.1201310459702436,0.0020604170586489,0.6584679479851284,0.1755488414748587,0.1130740203722509,0.0010879346895678,390.21711772001584,187.60352450063183,"{""n_estimators"": 1900, ""learning_rate"": 0.03451894238943405, ""num_leaves"": 192, ""min_child_samples"": 20, ""subsample"": 0.8391985302750342, ""colsample_bytree"": 0.7000694568478727, ""reg_lambda"": 5.205128617708791, ""reg_alpha"": 0.0067305183252275155, ""subsample_freq"": 1}"
xgb,True,20,2128.892210682804,147.37304979877757,15492.026010977375,7838.495651761337,0.1210255627742931,0.0023121836995447,0.6608510519075048,0.1693852224538765,0.1135683683141738,0.0010179359323093,56.61150864000665,2.9344221120928067,"{""n_estimators"": 1400, ""learning_rate"": 0.044999454491028726, ""max_depth"": 12, ""min_child_weight"": 19, ""subsample"": 0.9257542831740171, ""colsample_bytree"": 0.7637054354183093, ""reg_lambda"": 0.5833456813439493, ""reg_alpha"": 0.10141066985028475}"
rf,True,8,2162.481419600125,147.4260581776836,15636.111118398743,7969.822913648094,0.1258269703421164,0.0021938190662546,0.6543054904548067,0.1747826915654831,0.1184122412363758,0.0012318609686504,82.7814920200035,20.41051007672627,"{""n_estimators"": 300, ""max_depth"": 28, ""min_samples_leaf"": 1, ""max_features"": 0.7566930308259583}"
catboost,True,3,2408.8714336405733,164.3834122541403,15957.404979742258,8106.878875055373,0.13202116821161405,0.0028010081938478126,0.6407277037816212,0.18084728387011842,0.1251243098109974,0.0012335038273601298,145.13920249998336,38.18306741118693,"{""iterations"": 600, ""depth"": 7, ""learning_rate"": 0.07527190188222148, ""l2_leaf_reg"": 1.1420908805817513, ""random_strength"": 0.40542878619153266}"
poly_ridge,True,15,3341.817182184681,204.7823944300059,18079.301995462098,8269.74353045621,0.1806997128318299,0.0007324097098432,0.5400675369362284,0.1860705846044707,0.1690926193188447,0.0015991104724186,2.4006746199913325,0.3264703480038395,"{""alpha"": 191.27913928453904}"
ridge,True,20,3819.4318005865593,206.5056231728369,18547.77761263377,7540.898192785298,0.2086671995965128,0.0015372242886093,0.5130466077548426,0.1514944773097402,0.1930065635323856,0.00188467663106,2.0871429599937983,0.2539785419923772,"{""alpha"": 662.6674638291104}"
elasticnet,True,15,3836.7137338559455,207.3381615591123,18587.87646688077,7522.458515878112,0.2082200914790749,0.0014295135394032,0.5108125935684371,0.1506156811550286,0.1930380508601221,0.0019205246335464,6.712489859992639,0.8133709548121267,"{""alpha"": 0.0008592400213751307, ""l1_ratio"": 0.3188387528141416}"
dummy,False,0,10713.8605435454,203.11029955677407,26429.734639836523,6386.462056278543,0.9460726041265596,0.0080993806780441,-0.0300613269474119,0.0098876876971503,0.6269584461726085,0.0015546112031744,1.2220563199953176,0.1832803146567696,{}
